attack,intensity,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives
clean,none,0.9909,0.9853,0.9971,0.9911,0.9991,3258,51,10,3414
char,light,0.9903,0.9853,0.9959,0.9906,0.999,3258,51,14,3410
char,medium,0.989,0.9852,0.9933,0.9892,0.9988,3258,51,23,3401
char,heavy,0.9869,0.9852,0.9892,0.9872,0.9982,3258,51,37,3387
synonym,light,0.9906,0.9853,0.9965,0.9909,0.9991,3258,51,12,3412
synonym,medium,0.9905,0.9853,0.9962,0.9907,0.999,3258,51,13,3411
synonym,heavy,0.9908,0.9853,0.9968,0.991,0.9991,3258,51,11,3413
dilution,light,0.9736,0.9848,0.9629,0.9737,0.9962,3258,51,127,3297
dilution,medium,0.94,0.9837,0.8969,0.9383,0.9897,3258,51,353,3071
dilution,heavy,0.8923,0.9818,0.8032,0.8835,0.9794,3258,51,674,2750
