attack,intensity,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives
clean,none,0.9955,0.9968,0.9945,0.9956,0.9998,3298,11,19,3405
char,light,0.9975,0.9965,0.9985,0.9975,1.0,3297,12,5,3419
char,medium,0.9979,0.9965,0.9994,0.998,1.0,3297,12,2,3422
char,heavy,0.9979,0.9965,0.9994,0.998,1.0,3297,12,2,3422
synonym,light,0.9957,0.9965,0.995,0.9958,0.9998,3297,12,17,3407
synonym,medium,0.9961,0.9965,0.9959,0.9962,0.9999,3297,12,14,3410
synonym,heavy,0.9958,0.9965,0.9953,0.9959,0.9998,3297,12,16,3408
dilution,light,0.9906,0.9965,0.9851,0.9907,0.9996,3297,12,51,3373
dilution,medium,0.9795,0.9964,0.9632,0.9795,0.9988,3297,12,126,3298
dilution,heavy,0.9681,0.9963,0.9407,0.9677,0.9977,3297,12,203,3221
